OID_,ORIG_FID,osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,Shape_Length,lng,lat
1,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0455611,22.5372698
2,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0460479,22.5372735
3,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0465348,22.5372772
6,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0479952,22.53729625
7,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0484819,22.53730403
8,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0489687,22.53731186
9,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0494555,22.53731965
10,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0499423,22.53732546
11,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0504291,22.53733498
12,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0509158,22.53734401
6,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0479952,22.53729625
7,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0484819,22.53730403
8,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0489687,22.53731186
9,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0494555,22.53731965
10,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0499423,22.53732546
11,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0504291,22.53733498
12,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0509158,22.53734401
