OID_,ORIG_FID,osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,Shape_Length,lng,lat
67,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0632856,22.53768543
68,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0627988,22.53768011
69,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.062312,22.53767349
70,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0618252,22.53766622
71,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0613384,22.53765896
72,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0608516,22.5376517
73,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0603648,22.53764435
74,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.059878,22.53763698
75,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0593912,22.53762961
76,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0589044,22.53762224
77,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0584176,22.53761487
78,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0579309,22.53760746
