OID_,ORIG_FID,osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,Shape_Length,lng,lat
38,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0635722,22.53754017
39,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0640582,22.5375593
40,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0645341,22.53766059
41,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0650019,22.53779503
42,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0654641,22.53794796
43,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0659172,22.53812488
44,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0663657,22.53831411
45,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.066826,22.53847193
46,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0673043,22.53855651
47,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0677906,22.53857489
48,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0682774,22.5385824
49,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0687642,22.53858789
50,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.069251,22.53858703
51,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0697378,22.53858616
52,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0699423,22.5385858
53,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0699537,22.5386857
54,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0694669,22.5386827
55,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.06898,22.53867969
56,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0684932,22.5386756
57,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0680064,22.538669
58,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0675196,22.53866241
59,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0670354,22.53861566
60,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0665654,22.53849355
61,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0661093,22.53832318
62,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0656531,22.53815345
63,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0651954,22.53798754
64,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0647316,22.53784016
65,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0642566,22.53773371
66,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0637724,22.53769076
67,,40985005,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0632856,22.53768543
